#Contig name	K-mer length	Contig length in k-mers	Colored k-mers	Proportion of colored k-mers in contig	Mode k-mer coverage depth	K-mer observations	Total	Proportion of k-mer observations in sample
contig-307000000	31	519	0	0	3	1557	21898680	7.11002e-05
contig-230000003	31	612	0	0	3	1836	21898680	8.38407e-05
contig-272000002	31	563	0	0	5	2815	21898680	0.000128547
contig-254000001	31	587	0	0	5	2935	21898680	0.000134026
contig-308000000	31	518	0	0	6	3108	21898680	0.000141926
contig-273000002	31	563	0	0	2	1126	21898680	5.14186e-05
contig-255000001	31	585	0	0	6	3510	21898680	0.000160284
contig-231000003	31	611	0	0	3	1833	21898680	8.37037e-05
contig-309000000	31	516	0	0	2	1032	21898680	4.71261e-05
contig-274000002	31	571	0	0	6	3426	21898680	0.000156448
contig-256000001	31	585	0	0	8	4680	21898680	0.000213712
contig-232000003	31	610	0	0	2	1220	21898680	5.57111e-05
contig-310000000	31	516	0	0	6	3096	21898680	0.000141378
contig-233000003	31	608	0	0	3	1824	21898680	8.32927e-05
contig-311000000	31	515	0	0	3	1545	21898680	7.05522e-05
contig-275000002	31	557	0	0	5	2785	21898680	0.000127177
contig-257000001	31	583	0	0	6	3498	21898680	0.000159736
contig-312000000	31	515	0	0	2	1030	21898680	4.70348e-05
contig-234000003	31	608	0	0	4	2432	21898680	0.000111057
contig-276000002	31	552	0	0	9	4968	21898680	0.000226863
contig-258000001	31	579	0	0	2	1158	21898680	5.28799e-05
contig-313000000	31	514	0	0	6	3084	21898680	0.00014083
contig-277000002	31	551	0	0	4	2204	21898680	0.000100645
contig-235000003	31	607	0	0	4	2428	21898680	0.000110874
contig-314000000	31	514	0	0	2	1028	21898680	4.69435e-05
contig-259000001	31	756	0	0	16	12096	21898680	0.000552362
contig-278000002	31	739	0	0	20	14780	21898680	0.000674927
contig-315000000	31	513	0	0	3	1539	21898680	7.02782e-05
contig-236000003	31	605	0	0	2	1210	21898680	5.52545e-05
contig-260000001	31	573	0	0	4	2292	21898680	0.000104664
contig-316000000	31	513	0	0	6	3078	21898680	0.000140556
contig-279000002	31	549	0	0	10	5490	21898680	0.0002507
contig-317000000	31	511	0	0	6	3066	21898680	0.000140008
contig-237000003	31	604	0	0	6	3624	21898680	0.000165489
contig-261000001	31	711	0	0	4	2844	21898680	0.000129871
contig-318000000	31	511	0	0	6	3066	21898680	0.000140008
contig-280000002	31	549	0	0	4	2196	21898680	0.00010028
contig-238000003	31	601	0	0	4	2404	21898680	0.000109778
contig-319000000	31	510	0	0	7	3570	21898680	0.000163024
contig-262000001	31	572	0	0	8	4576	21898680	0.000208962
contig-281000002	31	547	0	0	3	1641	21898680	7.4936e-05
contig-239000003	31	600	0	0	13	7800	21898680	0.000356186
contig-282000002	31	546	0	0	2	1092	21898680	4.9866e-05
contig-263000001	31	570	0	0	6	3420	21898680	0.000156174
contig-240000003	31	688	0	0	4	2752	21898680	0.00012567
contig-283000002	31	544	0	0	8	4352	21898680	0.000198733
contig-264000001	31	567	0	0	6	3402	21898680	0.000155352
contig-241000003	31	885	0	0	7	6195	21898680	0.000282894
contig-284000002	31	653	0	0	11	7183	21898680	0.000328011
contig-320000000	31	2999	0	0	27	80973	21898680	0.00369762
contig-265000001	31	607	0	0	6	3642	21898680	0.000166311
contig-242000003	31	597	0	0	2	1194	21898680	5.45238e-05
contig-321000000	31	508	0	0	3	1524	21898680	6.95932e-05
contig-285000002	31	752	0	0	14	10528	21898680	0.00048076
contig-266000001	31	565	0	0	4	2260	21898680	0.000103203
contig-243000003	31	593	0	0	5	2965	21898680	0.000135396
contig-322000000	31	510	0	0	16	8160	21898680	0.000372625
contig-286000002	31	536	0	0	2	1072	21898680	4.89527e-05
contig-267000001	31	565	0	0	5	2825	21898680	0.000129003
contig-323000000	31	508	0	0	5	2540	21898680	0.000115989
contig-244000003	31	968	0	0	5	4840	21898680	0.000221018
contig-287000002	31	535	0	0	7	3745	21898680	0.000171015
contig-324000000	31	507	0	0	2	1014	21898680	4.63042e-05
contig-268000001	31	562	0	0	4	2248	21898680	0.000102655
contig-245000003	31	590	0	0	7	4130	21898680	0.000188596
contig-288000002	31	535	0	0	2	1070	21898680	4.88614e-05
contig-325000000	31	507	0	0	4	2028	21898680	9.26083e-05
contig-269000001	31	914	0	0	5	4570	21898680	0.000208688
contig-246000003	31	590	0	0	8	4720	21898680	0.000215538
contig-326000000	31	507	0	0	6	3042	21898680	0.000138912
contig-289000002	31	534	0	0	8	4272	21898680	0.00019508
contig-327000000	31	506	0	0	5	2530	21898680	0.000115532
contig-247000003	31	597	0	0	10	5970	21898680	0.000272619
contig-270000001	31	1111	0	0	6	6666	21898680	0.000304402
contig-290000002	31	533	0	0	2	1066	21898680	4.86787e-05
contig-328000000	31	514	0	0	12	6168	21898680	0.000281661
contig-248000003	31	588	0	0	8	4704	21898680	0.000214807
contig-291000002	31	532	0	0	5	2660	21898680	0.000121469
contig-271000001	31	551	0	0	5	2755	21898680	0.000125807
contig-329000000	31	503	0	0	4	2012	21898680	9.18777e-05
contig-249000003	31	586	0	0	5	2930	21898680	0.000133798
contig-330000000	31	499	0	0	4	1996	21898680	9.1147e-05
contig-272000001	31	551	0	0	9	4959	21898680	0.000226452
contig-292000002	31	533	0	0	18	9594	21898680	0.000438109
contig-250000003	31	610	0	0	10	6100	21898680	0.000278556
contig-331000000	31	513	0	0	4	2052	21898680	9.37043e-05
contig-273000001	31	585	0	0	2	1170	21898680	5.34279e-05
contig-293000002	31	531	0	0	5	2655	21898680	0.00012124
contig-332000000	31	505	0	0	6	3030	21898680	0.000138365
contig-274000001	31	547	0	0	7	3829	21898680	0.000174851
contig-251000003	31	603	0	0	9	5427	21898680	0.000247823
contig-294000002	31	529	0	0	2	1058	21898680	4.83134e-05
contig-333000000	31	495	0	0	4	1980	21898680	9.04164e-05
contig-275000001	31	546	0	0	8	4368	21898680	0.000199464
contig-252000003	31	586	0	0	6	3516	21898680	0.000160558
contig-295000002	31	528	0	0	3	1584	21898680	7.23331e-05
contig-334000000	31	617	0	0	6	3702	21898680	0.000169051
contig-276000001	31	546	0	0	6	3276	21898680	0.000149598
contig-253000003	31	582	0	0	2	1164	21898680	5.31539e-05
contig-296000002	31	528	0	0	4	2112	21898680	9.64442e-05
contig-335000000	31	508	0	0	10	5080	21898680	0.000231977
contig-277000001	31	545	0	0	5	2725	21898680	0.000124437
contig-254000003	31	580	0	0	4	2320	21898680	0.000105942
contig-336000000	31	493	0	0	2	986	21898680	4.50255e-05
contig-297000002	31	526	0	0	4	2104	21898680	9.60789e-05
contig-337000000	31	488	0	0	4	1952	21898680	8.91378e-05
contig-278000001	31	541	0	0	4	2164	21898680	9.88187e-05
contig-255000003	31	577	0	0	4	2308	21898680	0.000105394
contig-298000002	31	526	0	0	4	2104	21898680	9.60789e-05
contig-338000000	31	488	0	0	4	1952	21898680	8.91378e-05
contig-279000001	31	538	0	0	8	4304	21898680	0.000196542
contig-256000003	31	575	0	0	4	2300	21898680	0.000105029
contig-339000000	31	487	0	0	6	2922	21898680	0.000133433
contig-299000002	31	524	0	0	5	2620	21898680	0.000119642
contig-280000001	31	537	0	0	4	2148	21898680	9.80881e-05
contig-340000000	31	487	0	0	5	2435	21898680	0.000111194
contig-257000003	31	573	0	0	2	1146	21898680	5.23319e-05
contig-300000002	31	522	0	0	5	2610	21898680	0.000119185
contig-341000000	31	488	0	0	6	2928	21898680	0.000133707
contig-281000001	31	534	0	0	10	5340	21898680	0.00024385
contig-258000003	31	573	0	0	7	4011	21898680	0.000183162
contig-342000000	31	483	0	0	2	966	21898680	4.41122e-05
contig-301000002	31	663	0	0	6	3978	21898680	0.000181655
contig-282000001	31	533	0	0	6	3198	21898680	0.000146036
contig-343000000	31	543	0	0	2	1086	21898680	4.9592e-05
contig-302000002	31	520	0	0	6	3120	21898680	0.000142474
contig-259000003	31	572	0	0	6	3432	21898680	0.000156722
contig-344000000	31	482	0	0	2	964	21898680	4.40209e-05
contig-303000002	31	519	0	0	2	1038	21898680	4.74001e-05
contig-283000001	31	904	0	0	20	18080	21898680	0.000825621
contig-260000003	31	569	0	0	4	2276	21898680	0.000103933
contig-345000000	31	482	0	0	2	964	21898680	4.40209e-05
contig-304000002	31	519	0	0	7	3633	21898680	0.0001659
contig-284000001	31	531	0	0	8	4248	21898680	0.000193984
contig-346000000	31	480	0	0	8	3840	21898680	0.000175353
contig-347000000	31	480	0	0	7	3360	21898680	0.000153434
contig-305000002	31	518	0	0	6	3108	21898680	0.000141926
contig-261000003	31	991	0	0	6	5946	21898680	0.000271523
contig-306000002	31	518	0	0	6	3108	21898680	0.000141926
contig-348000000	31	484	0	0	10	4840	21898680	0.000221018
contig-285000001	31	1079	0	0	24	25896	21898680	0.00118254
contig-307000002	31	518	0	0	4	2072	21898680	9.46176e-05
contig-349000000	31	477	0	0	3	1431	21898680	6.53464e-05
contig-262000003	31	564	0	0	2	1128	21898680	5.151e-05
contig-308000002	31	517	0	0	2	1034	21898680	4.72175e-05
contig-286000001	31	526	0	0	4	2104	21898680	9.60789e-05
contig-350000000	31	927	0	0	8	7416	21898680	0.000338651
contig-263000003	31	563	0	0	2	1126	21898680	5.14186e-05
contig-309000002	31	517	0	0	6	3102	21898680	0.000141652
contig-351000000	31	475	0	0	2	950	21898680	4.33816e-05
contig-264000003	31	561	0	0	2	1122	21898680	5.1236e-05
contig-352000000	31	474	0	0	2	948	21898680	4.32903e-05
contig-310000002	31	598	0	0	7	4186	21898680	0.000191153
contig-353000000	31	472	0	0	2	944	21898680	4.31076e-05
contig-265000003	31	558	0	0	18	10044	21898680	0.000458658
contig-311000002	31	515	0	0	6	3090	21898680	0.000141104
contig-287000001	31	2726	0	0	19	51794	21898680	0.00236517
contig-354000000	31	725	0	0	7	5075	21898680	0.000231749
contig-312000002	31	548	0	0	4	2192	21898680	0.000100097
contig-266000003	31	557	0	0	5	2785	21898680	0.000127177
contig-355000000	31	471	0	0	4	1884	21898680	8.60326e-05
contig-288000001	31	519	0	0	6	3114	21898680	0.0001422
contig-267000003	31	555	0	0	7	3885	21898680	0.000177408
contig-356000000	31	470	0	0	4	1880	21898680	8.58499e-05
contig-313000002	31	657	0	0	5	3285	21898680	0.000150009
contig-268000003	31	554	0	0	2	1108	21898680	5.05967e-05
contig-357000000	31	469	0	0	14	6566	21898680	0.000299835
contig-314000002	31	547	0	0	5	2735	21898680	0.000124893
contig-315000002	31	509	0	0	6	3054	21898680	0.00013946
contig-269000003	31	650	0	0	6	3900	21898680	0.000178093
contig-289000001	31	1275	0	0	9	11475	21898680	0.000524004
contig-358000000	31	689	0	0	14	9646	21898680	0.000440483
contig-316000002	31	509	0	0	3	1527	21898680	6.97302e-05
contig-359000000	31	468	0	0	4	1872	21898680	8.54846e-05
contig-270000003	31	551	0	0	6	3306	21898680	0.000150968
contig-290000001	31	517	0	0	3	1551	21898680	7.08262e-05
contig-317000002	31	507	0	0	6	3042	21898680	0.000138912
contig-360000000	31	468	0	0	9	4212	21898680	0.00019234
contig-271000003	31	550	0	0	4	2200	21898680	0.000100463
contig-291000001	31	516	0	0	6	3096	21898680	0.000141378
contig-361000000	31	462	0	0	12	5544	21898680	0.000253166
contig-318000002	31	507	0	0	2	1014	21898680	4.63042e-05
contig-362000000	31	461	0	0	2	922	21898680	4.2103e-05
contig-292000001	31	535	0	0	8	4280	21898680	0.000195446
contig-272000003	31	550	0	0	4	2200	21898680	0.000100463
contig-363000000	31	458	0	0	2	916	21898680	4.1829e-05
contig-319000002	31	506	0	0	4	2024	21898680	9.24257e-05
contig-364000000	31	456	0	0	2	912	21898680	4.16463e-05
contig-293000001	31	511	0	0	2	1022	21898680	4.66695e-05
contig-273000003	31	563	0	0	5	2815	21898680	0.000128547
contig-365000000	31	455	0	0	5	2275	21898680	0.000103888
contig-320000002	31	520	0	0	10	5200	21898680	0.000237457
contig-366000000	31	452	0	0	4	1808	21898680	8.25621e-05
contig-274000003	31	547	0	0	6	3282	21898680	0.000149872
contig-294000001	31	510	0	0	4	2040	21898680	9.31563e-05
contig-321000002	31	505	0	0	4	2020	21898680	9.2243e-05
contig-367000000	31	451	0	0	4	1804	21898680	8.23794e-05
contig-295000001	31	510	0	0	2	1020	21898680	4.65781e-05
contig-368000000	31	451	0	0	7	3157	21898680	0.000144164
contig-275000003	31	547	0	0	8	4376	21898680	0.000199829
contig-322000002	31	504	0	0	2	1008	21898680	4.60302e-05
contig-296000001	31	530	0	0	4	2120	21898680	9.68095e-05
contig-369000000	31	450	0	0	8	3600	21898680	0.000164393
contig-276000003	31	547	0	0	4	2188	21898680	9.99147e-05
contig-370000000	31	450	0	0	8	3600	21898680	0.000164393
contig-323000002	31	503	0	0	4	2012	21898680	9.18777e-05
contig-297000001	31	509	0	0	2	1018	21898680	4.64868e-05
contig-371000000	31	573	0	0	6	3438	21898680	0.000156996
contig-277000003	31	544	0	0	6	3264	21898680	0.00014905
contig-298000001	31	509	0	0	2	1018	21898680	4.64868e-05
contig-324000002	31	603	0	0	2	1206	21898680	5.50718e-05
contig-372000000	31	449	0	0	4	1796	21898680	8.20141e-05
contig-278000003	31	544	0	0	10	5440	21898680	0.000248417
contig-299000001	31	509	0	0	4	2036	21898680	9.29736e-05
contig-325000002	31	497	0	0	2	994	21898680	4.53909e-05
contig-279000003	31	561	0	0	6	3366	21898680	0.000153708
contig-373000000	31	1146	0	0	12	13752	21898680	0.000627983
contig-300000001	31	506	0	0	4	2024	21898680	9.24257e-05
contig-326000002	31	625	0	0	6	3750	21898680	0.000171243
contig-374000000	31	447	0	0	3	1341	21898680	6.12366e-05
contig-301000001	31	505	0	0	6	3030	21898680	0.000138365
contig-375000000	31	446	0	0	4	1784	21898680	8.14661e-05
contig-327000002	31	497	0	0	2	994	21898680	4.53909e-05
contig-280000003	31	1228	0	0	25	30700	21898680	0.00140191
contig-376000000	31	445	0	0	2	890	21898680	4.06417e-05
contig-302000001	31	504	0	0	6	3024	21898680	0.000138091
contig-377000000	31	444	0	0	9	3996	21898680	0.000182477
contig-328000002	31	534	0	0	19	10146	21898680	0.000463316
contig-281000003	31	543	0	0	13	7059	21898680	0.000322348
contig-378000000	31	444	0	0	8	3552	21898680	0.000162202
contig-303000001	31	576	0	0	12	6912	21898680	0.000315635
contig-329000002	31	503	0	0	6	3018	21898680	0.000137817
contig-282000003	31	543	0	0	6	3258	21898680	0.000148776
contig-379000000	31	504	0	0	4	2016	21898680	9.20603e-05
contig-330000002	31	493	0	0	7	3451	21898680	0.000157589
contig-304000001	31	504	0	0	3	1512	21898680	6.90453e-05
contig-380000000	31	441	0	0	6	2646	21898680	0.000120829
contig-283000003	31	543	0	0	8	4344	21898680	0.000198368
contig-381000000	31	441	0	0	9	3969	21898680	0.000181244
contig-331000002	31	493	0	0	5	2465	21898680	0.000112564
contig-305000001	31	502	0	0	3	1506	21898680	6.87713e-05
contig-382000000	31	440	0	0	4	1760	21898680	8.03701e-05
contig-332000002	31	492	0	0	4	1968	21898680	8.98684e-05
contig-284000003	31	541	0	0	6	3246	21898680	0.000148228
contig-383000000	31	439	0	0	2	878	21898680	4.00937e-05
contig-306000001	31	502	0	0	2	1004	21898680	4.58475e-05
contig-384000000	31	439	0	0	4	1756	21898680	8.01875e-05
contig-333000002	31	491	0	0	4	1964	21898680	8.96858e-05
contig-385000000	31	437	0	0	6	2622	21898680	0.000119733
contig-285000003	31	540	0	0	7	3780	21898680	0.000172613
contig-386000000	31	437	0	0	5	2185	21898680	9.97777e-05
contig-307000001	31	702	0	0	2	1404	21898680	6.41135e-05
contig-334000002	31	489	0	0	4	1956	21898680	8.93205e-05
contig-387000000	31	435	0	0	3	1305	21898680	5.95926e-05
contig-286000003	31	544	0	0	5	2720	21898680	0.000124208
contig-388000000	31	433	0	0	3	1299	21898680	5.93186e-05
contig-308000001	31	501	0	0	6	3006	21898680	0.000137269
contig-335000002	31	490	0	0	8	3920	21898680	0.000179006
contig-389000000	31	432	0	0	5	2160	21898680	9.86361e-05
contig-309000001	31	501	0	0	2	1002	21898680	4.57562e-05
contig-287000003	31	539	0	0	2	1078	21898680	4.92267e-05
contig-390000000	31	432	0	0	4	1728	21898680	7.89089e-05
contig-336000002	31	486	0	0	3	1458	21898680	6.65794e-05
contig-288000003	31	537	0	0	10	5370	21898680	0.00024522
contig-391000000	31	432	0	0	5	2160	21898680	9.86361e-05
contig-310000001	31	500	0	0	5	2500	21898680	0.000114162
contig-337000002	31	486	0	0	5	2430	21898680	0.000110966
contig-392000000	31	432	0	0	2	864	21898680	3.94544e-05
contig-289000003	31	535	0	0	8	4280	21898680	0.000195446
contig-393000000	31	457	0	0	2	914	21898680	4.17377e-05
contig-338000002	31	485	0	0	2	970	21898680	4.42949e-05
contig-311000001	31	619	0	0	2	1238	21898680	5.65331e-05
contig-290000003	31	536	0	0	5	2680	21898680	0.000122382
contig-394000000	31	460	0	0	4	1840	21898680	8.40233e-05
contig-339000002	31	485	0	0	5	2425	21898680	0.000110737
contig-312000001	31	496	0	0	3	1488	21898680	6.79493e-05
contig-395000000	31	429	0	0	4	1716	21898680	7.83609e-05
contig-291000003	31	533	0	0	2	1066	21898680	4.86787e-05
contig-340000002	31	484	0	0	23	11132	21898680	0.000508341
contig-313000001	31	494	0	0	2	988	21898680	4.51169e-05
contig-396000000	31	428	0	0	4	1712	21898680	7.81782e-05
contig-292000003	31	528	0	0	5	2640	21898680	0.000120555
contig-341000002	31	484	0	0	8	3872	21898680	0.000176814
contig-397000000	31	427	0	0	2	854	21898680	3.89978e-05
contig-342000002	31	482	0	0	3	1446	21898680	6.60314e-05
contig-398000000	31	431	0	0	8	3448	21898680	0.000157452
contig-314000001	31	1152	0	0	8	9216	21898680	0.000420847
contig-293000003	31	757	0	0	6	4542	21898680	0.00020741
contig-399000000	31	427	0	0	2	854	21898680	3.89978e-05
contig-315000001	31	492	0	0	2	984	21898680	4.49342e-05
contig-343000002	31	875	0	0	5	4375	21898680	0.000199784
contig-294000003	31	527	0	0	4	2108	21898680	9.62615e-05
contig-400000000	31	426	0	0	4	1704	21898680	7.78129e-05
contig-344000002	31	488	0	0	2	976	21898680	4.45689e-05
contig-316000001	31	488	0	0	7	3416	21898680	0.000155991
contig-401000000	31	426	0	0	5	2130	21898680	9.72661e-05
contig-295000003	31	527	0	0	6	3162	21898680	0.000144392
contig-317000001	31	488	0	0	4	1952	21898680	8.91378e-05
contig-402000000	31	424	0	0	9	3816	21898680	0.000174257
contig-345000002	31	552	0	0	16	8832	21898680	0.000403312
contig-296000003	31	526	0	0	2	1052	21898680	4.80394e-05
contig-403000000	31	424	0	0	4	1696	21898680	7.74476e-05
contig-318000001	31	487	0	0	12	5844	21898680	0.000266865
contig-297000003	31	524	0	0	10	5240	21898680	0.000239284
contig-404000000	31	422	0	0	4	1688	21898680	7.70823e-05
contig-319000001	31	587	0	0	2	1174	21898680	5.36105e-05
contig-405000000	31	422	0	0	6	2532	21898680	0.000115623
contig-346000002	31	1245	0	0	9	11205	21898680	0.000511675
contig-298000003	31	522	0	0	4	2088	21898680	9.53482e-05
contig-406000000	31	421	0	0	7	2947	21898680	0.000134574
contig-347000002	31	476	0	0	4	1904	21898680	8.69459e-05
contig-299000003	31	651	0	0	4	2604	21898680	0.000118911
contig-407000000	31	802	0	0	6	4812	21898680	0.000219739
contig-348000002	31	474	0	0	6	2844	21898680	0.000129871
contig-408000000	31	417	0	0	5	2085	21898680	9.52112e-05
contig-300000003	31	861	0	0	4	3444	21898680	0.00015727
contig-349000002	31	472	0	0	2	944	21898680	4.31076e-05
contig-320000001	31	2285	0	0	9	20565	21898680	0.000939098
contig-409000000	31	417	0	0	2	834	21898680	3.80845e-05
contig-350000002	31	472	0	0	5	2360	21898680	0.000107769
contig-301000003	31	512	0	0	4	2048	21898680	9.35216e-05
contig-410000000	31	415	0	0	5	2075	21898680	9.47546e-05
contig-351000002	31	471	0	0	6	2826	21898680	0.000129049
contig-321000001	31	485	0	0	2	970	21898680	4.42949e-05
contig-411000000	31	415	0	0	7	2905	21898680	0.000132656
contig-302000003	31	622	0	0	9	5598	21898680	0.000255632
contig-352000002	31	467	0	0	9	4203	21898680	0.000191929
contig-412000000	31	414	0	0	6	2484	21898680	0.000113431
contig-322000001	31	485	0	0	5	2425	21898680	0.000110737
contig-413000000	31	413	0	0	2	826	21898680	3.77192e-05
contig-303000003	31	895	0	0	8	7160	21898680	0.00032696
contig-353000002	31	467	0	0	3	1401	21898680	6.39765e-05
contig-323000001	31	484	0	0	2	968	21898680	4.42036e-05
contig-414000000	31	413	0	0	3	1239	21898680	5.65788e-05
contig-354000002	31	466	0	0	4	1864	21898680	8.51193e-05
contig-304000003	31	506	0	0	5	2530	21898680	0.000115532
contig-324000001	31	480	0	0	6	2880	21898680	0.000131515
contig-415000000	31	413	0	0	6	2478	21898680	0.000113158
contig-305000003	31	506	0	0	13	6578	21898680	0.000300383
contig-355000002	31	795	0	0	8	6360	21898680	0.000290428
contig-416000000	31	413	0	0	3	1239	21898680	5.65788e-05
contig-306000003	31	504	0	0	4	2016	21898680	9.20603e-05
contig-325000001	31	522	0	0	2	1044	21898680	4.76741e-05
contig-417000000	31	412	0	0	4	1648	21898680	7.52557e-05
contig-356000002	31	465	0	0	2	930	21898680	4.24683e-05
contig-307000003	31	502	0	0	2	1004	21898680	4.58475e-05
contig-326000001	31	478	0	0	2	956	21898680	4.36556e-05
contig-418000000	31	459	0	0	4	1836	21898680	8.38407e-05
contig-357000002	31	464	0	0	4	1856	21898680	8.4754e-05
contig-308000003	31	502	0	0	6	3012	21898680	0.000137543
contig-419000000	31	412	0	0	8	3296	21898680	0.000150511
contig-327000001	31	514	0	0	8	4112	21898680	0.000187774
contig-420000000	31	412	0	0	15	6180	21898680	0.000282209
contig-309000003	31	500	0	0	4	2000	21898680	9.13297e-05
contig-358000002	31	658	0	0	10	6580	21898680	0.000300475
contig-421000000	31	409	0	0	5	2045	21898680	9.33846e-05
contig-328000001	31	477	0	0	4	1908	21898680	8.71285e-05
contig-310000003	31	665	0	0	6	3990	21898680	0.000182203
contig-422000000	31	414	0	0	6	2484	21898680	0.000113431
contig-329000001	31	474	0	0	4	1896	21898680	8.65806e-05
contig-311000003	31	501	0	0	6	3006	21898680	0.000137269
contig-423000000	31	407	0	0	3	1221	21898680	5.57568e-05
contig-359000002	31	1078	0	0	4	4312	21898680	0.000196907
contig-424000000	31	408	0	0	3	1224	21898680	5.58938e-05
contig-312000003	31	576	0	0	2	1152	21898680	5.26059e-05
contig-330000001	31	564	0	0	4	2256	21898680	0.00010302
contig-360000002	31	462	0	0	5	2310	21898680	0.000105486
contig-313000003	31	498	0	0	2	996	21898680	4.54822e-05
contig-425000000	31	407	0	0	4	1628	21898680	7.43424e-05
contig-331000001	31	471	0	0	4	1884	21898680	8.60326e-05
contig-426000000	31	405	0	0	4	1620	21898680	7.39771e-05
contig-361000002	31	461	0	0	2	922	21898680	4.2103e-05
contig-314000003	31	497	0	0	7	3479	21898680	0.000158868
contig-427000000	31	404	0	0	6	2424	21898680	0.000110692
contig-362000002	31	460	0	0	2	920	21898680	4.20117e-05
contig-332000001	31	500	0	0	9	4500	21898680	0.000205492
contig-428000000	31	400	0	0	6	2400	21898680	0.000109596
contig-363000002	31	460	0	0	5	2300	21898680	0.000105029
contig-333000001	31	468	0	0	8	3744	21898680	0.000170969
contig-429000000	31	400	0	0	2	800	21898680	3.65319e-05
contig-315000003	31	1180	0	0	9	10620	21898680	0.000484961
contig-364000002	31	458	0	0	4	1832	21898680	8.3658e-05
contig-430000000	31	587	0	0	8	4696	21898680	0.000214442
contig-334000001	31	468	0	0	4	1872	21898680	8.54846e-05
contig-316000003	31	490	0	0	6	2940	21898680	0.000134255
contig-431000000	31	398	0	0	4	1592	21898680	7.26984e-05
contig-365000002	31	458	0	0	4	1832	21898680	8.3658e-05
contig-335000001	31	468	0	0	3	1404	21898680	6.41135e-05
contig-432000000	31	396	0	0	2	792	21898680	3.61666e-05
contig-366000002	31	457	0	0	5	2285	21898680	0.000104344
contig-317000003	31	489	0	0	2	978	21898680	4.46602e-05
contig-433000000	31	395	0	0	10	3950	21898680	0.000180376
contig-336000001	31	677	0	0	3	2031	21898680	9.27453e-05
contig-367000002	31	457	0	0	2	914	21898680	4.17377e-05
contig-318000003	31	487	0	0	6	2922	21898680	0.000133433
contig-434000000	31	395	0	0	12	4740	21898680	0.000216451
contig-368000002	31	457	0	0	2	914	21898680	4.17377e-05
contig-337000001	31	463	0	0	7	3241	21898680	0.000148
contig-369000002	31	456	0	0	3	1368	21898680	6.24695e-05
contig-338000001	31	462	0	0	10	4620	21898680	0.000210972
contig-319000003	31	915	0	0	26	23790	21898680	0.00108637
contig-435000000	31	538	0	0	4	2152	21898680	9.82708e-05
contig-339000001	31	460	0	0	2	920	21898680	4.20117e-05
contig-370000002	31	456	0	0	2	912	21898680	4.16463e-05
contig-436000000	31	439	0	0	2	878	21898680	4.00937e-05
contig-320000003	31	484	0	0	2	968	21898680	4.42036e-05
contig-371000002	31	455	0	0	4	1820	21898680	8.311e-05
contig-340000001	31	560	0	0	2	1120	21898680	5.11446e-05
contig-372000002	31	455	0	0	2	910	21898680	4.1555e-05
contig-437000000	31	649	0	0	8	5192	21898680	0.000237092
contig-341000001	31	460	0	0	6	2760	21898680	0.000126035
contig-321000003	31	520	0	0	9	4680	21898680	0.000213712
contig-373000002	31	455	0	0	2	910	21898680	4.1555e-05
contig-438000000	31	392	0	0	6	2352	21898680	0.000107404
contig-342000001	31	459	0	0	4	1836	21898680	8.38407e-05
contig-374000002	31	455	0	0	10	4550	21898680	0.000207775
contig-322000003	31	483	0	0	3	1449	21898680	6.61684e-05
contig-439000000	31	500	0	0	9	4500	21898680	0.000205492
contig-343000001	31	459	0	0	6	2754	21898680	0.000125761
contig-375000002	31	453	0	0	3	1359	21898680	6.20585e-05
contig-344000001	31	459	0	0	2	918	21898680	4.19203e-05
contig-323000003	31	482	0	0	3	1446	21898680	6.60314e-05
contig-440000000	31	391	0	0	2	782	21898680	3.57099e-05
contig-376000002	31	452	0	0	6	2712	21898680	0.000123843
contig-345000001	31	459	0	0	7	3213	21898680	0.000146721
contig-324000003	31	482	0	0	10	4820	21898680	0.000220105
contig-441000000	31	391	0	0	5	1955	21898680	8.92748e-05
contig-346000001	31	454	0	0	6	2724	21898680	0.000124391
contig-377000002	31	460	0	0	3	1380	21898680	6.30175e-05
contig-325000003	31	479	0	0	6	2874	21898680	0.000131241
contig-442000000	31	390	0	0	8	3120	21898680	0.000142474
contig-347000001	31	453	0	0	2	906	21898680	4.13724e-05
contig-378000002	31	451	0	0	4	1804	21898680	8.23794e-05
contig-443000000	31	390	0	0	4	1560	21898680	7.12372e-05
contig-348000001	31	453	0	0	10	4530	21898680	0.000206862
contig-379000002	31	692	0	0	7	4844	21898680	0.000221201
contig-444000000	31	389	0	0	4	1556	21898680	7.10545e-05
contig-326000003	31	1270	0	0	13	16510	21898680	0.000753927
contig-445000000	31	388	0	0	4	1552	21898680	7.08719e-05
contig-349000001	31	453	0	0	6	2718	21898680	0.000124117
contig-380000002	31	449	0	0	2	898	21898680	4.1007e-05
contig-446000000	31	388	0	0	6	2328	21898680	0.000106308
contig-350000001	31	492	0	0	4	1968	21898680	8.98684e-05
contig-327000003	31	476	0	0	4	1904	21898680	8.69459e-05
contig-381000002	31	448	0	0	8	3584	21898680	0.000163663
contig-447000000	31	387	0	0	3	1161	21898680	5.30169e-05
contig-351000001	31	452	0	0	4	1808	21898680	8.25621e-05
contig-328000003	31	476	0	0	4	1904	21898680	8.69459e-05
contig-448000000	31	387	0	0	5	1935	21898680	8.83615e-05
contig-352000001	31	451	0	0	5	2255	21898680	0.000102974
contig-382000002	31	447	0	0	4	1788	21898680	8.16488e-05
