locus_tag	ftype	length_bp	gene	EC_number	COG	product
POBNIBBE_00401	CDS	351			COG0586	putative membrane protein
POBNIBBE_00402	CDS	195	nusG		COG0250	Transcription termination/antitermination protein NusG
POBNIBBE_00403	CDS	126				hypothetical protein
POBNIBBE_00404	CDS	426	rplK		COG0080	50S ribosomal protein L11
POBNIBBE_00405	CDS	702	rplA			50S ribosomal protein L1
POBNIBBE_00406	CDS	501	rplJ		COG0244	50S ribosomal protein L10
POBNIBBE_00407	CDS	369	rplL			50S ribosomal protein L7/L12
POBNIBBE_00408	CDS	606	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
POBNIBBE_00409	CDS	2607	adhE		COG1012	Aldehyde-alcohol dehydrogenase
POBNIBBE_00410	CDS	501	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
POBNIBBE_00411	CDS	291	mapP	3.1.3.90		Maltose 6'-phosphate phosphatase
POBNIBBE_00412	CDS	246				hypothetical protein
POBNIBBE_00413	CDS	228				hypothetical protein
POBNIBBE_00414	CDS	672	ompA		COG2885	Outer membrane protein A
POBNIBBE_00415	CDS	1947				hypothetical protein
POBNIBBE_00416	CDS	687	ftsE		COG2884	Cell division ATP-binding protein FtsE
POBNIBBE_00417	CDS	333	cccA_1			Cytochrome c-551
POBNIBBE_00418	CDS	864				hypothetical protein
POBNIBBE_00419	CDS	261				hypothetical protein
POBNIBBE_00420	CDS	261				hypothetical protein
POBNIBBE_00421	CDS	513	prfB			Peptide chain release factor 2
POBNIBBE_00422	CDS	1089	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
POBNIBBE_00423	CDS	678	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
POBNIBBE_00424	CDS	936				hypothetical protein
POBNIBBE_00425	CDS	174	rpsU			30S ribosomal protein S21
POBNIBBE_00426	CDS	447	yqeY		COG1610	putative protein YqeY
POBNIBBE_00427	CDS	510				hypothetical protein
POBNIBBE_00428	CDS	297				hypothetical protein
POBNIBBE_00429	CDS	1383	glyQS	6.1.1.14		Glycine--tRNA ligase
POBNIBBE_00430	CDS	201	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
POBNIBBE_00431	CDS	246				hypothetical protein
POBNIBBE_00432	CDS	1134	yerA	3.5.4.2	COG1001	Putative adenine deaminase YerA
POBNIBBE_00433	CDS	1026	yerB			Putative lipoprotein YerB
POBNIBBE_00434	CDS	327				hypothetical protein
POBNIBBE_00435	CDS	390	rpsK			30S ribosomal protein S11
POBNIBBE_00436	CDS	366	rpsM			30S ribosomal protein S13
POBNIBBE_00437	CDS	114	rpmJ			50S ribosomal protein L36
POBNIBBE_00438	CDS	219	infA		COG0361	Translation initiation factor IF-1
POBNIBBE_00439	CDS	741	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
POBNIBBE_00440	CDS	654	adk	2.7.4.3		Adenylate kinase
POBNIBBE_00441	CDS	360	secY			Protein translocase subunit SecY
POBNIBBE_00442	CDS	1530	ahpF	1.6.99.3	COG3634	NADH dehydrogenase
POBNIBBE_00443	CDS	564	ahpC	1.11.1.15		Alkyl hydroperoxide reductase C
POBNIBBE_00444	CDS	174				hypothetical protein
POBNIBBE_00445	CDS	420	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
POBNIBBE_00446	CDS	747				hypothetical protein
POBNIBBE_00447	CDS	1014	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
POBNIBBE_00448	CDS	1314	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
POBNIBBE_00449	CDS	1158				hypothetical protein
POBNIBBE_00450	CDS	693				hypothetical protein
POBNIBBE_00451	CDS	681	citT		COG4565	Transcriptional regulatory protein CitT
POBNIBBE_00452	CDS	459	perR		COG0735	Peroxide operon regulator
POBNIBBE_00453	CDS	477	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
POBNIBBE_00454	CDS	405				hypothetical protein
POBNIBBE_00455	CDS	954	ldh_1	1.1.1.27		L-lactate dehydrogenase
POBNIBBE_00456	CDS	744				hypothetical protein
POBNIBBE_00457	CDS	1197	fliD		COG1345	Flagellar hook-associated protein 2
POBNIBBE_00458	CDS	402	fliS		COG1516	Flagellar secretion chaperone FliS
POBNIBBE_00459	CDS	354	fliT			Flagellar protein FliT
POBNIBBE_00460	CDS	606				hypothetical protein
POBNIBBE_00461	CDS	549	hpf			Ribosome hibernation promotion factor
POBNIBBE_00462	CDS	633	leuE		COG1280	Leucine efflux protein
POBNIBBE_00463	CDS	438				hypothetical protein
POBNIBBE_00464	CDS	2040	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
POBNIBBE_00465	CDS	177				hypothetical protein
POBNIBBE_00466	CDS	603	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
POBNIBBE_00467	CDS	846	noc		COG1475	Nucleoid occlusion protein
POBNIBBE_00468	CDS	762	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
POBNIBBE_00469	CDS	861	spo0J		COG1475	Stage 0 sporulation protein J
POBNIBBE_00470	CDS	93				hypothetical protein
POBNIBBE_00471	CDS	426	rppH	3.6.1.-		RNA pyrophosphohydrolase
POBNIBBE_00472	CDS	957				hypothetical protein
POBNIBBE_00473	CDS	1227	katG	1.11.1.21		Catalase-peroxidase
POBNIBBE_00474	CDS	102				hypothetical protein
POBNIBBE_00475	CDS	1548	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
POBNIBBE_00476	CDS	678	pdaA_1	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
POBNIBBE_00477	CDS	495	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
POBNIBBE_00478	CDS	1548	leuA	2.3.3.13		2-isopropylmalate synthase
POBNIBBE_00479	CDS	1116	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
POBNIBBE_00480	CDS	324	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
POBNIBBE_00481	CDS	1716				hypothetical protein
POBNIBBE_00482	CDS	960				hypothetical protein
POBNIBBE_00483	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
POBNIBBE_00484	CDS	753	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
POBNIBBE_00485	CDS	288	comN			Post-transcriptional regulator ComN
POBNIBBE_00486	CDS	1563	spoVB		COG2244	Stage V sporulation protein B
POBNIBBE_00487	CDS	384				hypothetical protein
POBNIBBE_00488	CDS	273	yajC		COG1862	Sec translocon accessory complex subunit YajC
POBNIBBE_00489	CDS	522	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
POBNIBBE_00490	CDS	1200				hypothetical protein
POBNIBBE_00491	CDS	339				hypothetical protein
POBNIBBE_00492	CDS	1830	lepA	3.6.5.-		Elongation factor 4
POBNIBBE_00493	CDS	2040	nrdE	1.17.4.1		Ribonucleoside-diphosphate reductase subunit alpha
POBNIBBE_00494	CDS	1137	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
POBNIBBE_00495	CDS	489				hypothetical protein
POBNIBBE_00496	CDS	1386	tcyP		COG1823	L-cystine uptake protein TcyP
POBNIBBE_00497	CDS	537	atpH			ATP synthase subunit delta
POBNIBBE_00498	CDS	537	atpF			ATP synthase subunit b
POBNIBBE_00499	CDS	219	atpE			ATP synthase subunit c
POBNIBBE_00500	CDS	714	atpB			ATP synthase subunit a
POBNIBBE_00501	CDS	357				hypothetical protein
POBNIBBE_00502	CDS	1758	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
POBNIBBE_00503	CDS	609	sdhC		COG2009	Succinate dehydrogenase cytochrome b558 subunit
POBNIBBE_00504	CDS	567	gdpP	3.1.4.-	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
POBNIBBE_00505	CDS	450	rplI			50S ribosomal protein L9
POBNIBBE_00506	CDS	1365	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
POBNIBBE_00507	CDS	621				hypothetical protein
POBNIBBE_00508	CDS	513				hypothetical protein
POBNIBBE_00509	CDS	1206	yocH		COG1388	Cell wall-binding protein YocH
POBNIBBE_00510	CDS	771	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
POBNIBBE_00511	CDS	576	metG	6.1.1.10		Methionine--tRNA ligase
POBNIBBE_00512	CDS	2127	cadA_2	3.6.3.3		Cadmium-transporting ATPase
POBNIBBE_00513	CDS	372	cadC_2			Cadmium resistance transcriptional regulatory protein CadC
POBNIBBE_00514	CDS	153				hypothetical protein
POBNIBBE_00515	CDS	399	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
POBNIBBE_00516	CDS	1137	dnaN		COG0592	Beta sliding clamp
POBNIBBE_00517	CDS	222				hypothetical protein
POBNIBBE_00518	CDS	1119	recF		COG1195	DNA replication and repair protein RecF
POBNIBBE_00519	CDS	435				hypothetical protein
POBNIBBE_00520	CDS	402				hypothetical protein
POBNIBBE_00521	CDS	1467				hypothetical protein
POBNIBBE_00522	CDS	1206				hypothetical protein
POBNIBBE_00523	CDS	318	trxA		COG0526	Thioredoxin
POBNIBBE_00524	CDS	678	etfB		COG2086	Electron transfer flavoprotein subunit beta
POBNIBBE_00525	CDS	435	fadB	4.2.1.17	COG1024	putative enoyl-CoA hydratase
POBNIBBE_00526	CDS	786				hypothetical protein
POBNIBBE_00527	CDS	567	rpoE		COG3343	DNA-directed RNA polymerase subunit delta
POBNIBBE_00528	CDS	1086	icmF		COG1703	Fused isobutyryl-CoA mutase
POBNIBBE_00529	CDS	255	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
POBNIBBE_00530	CDS	729	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
POBNIBBE_00531	CDS	1296	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
POBNIBBE_00532	CDS	942	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
POBNIBBE_00533	CDS	639	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
POBNIBBE_00534	CDS	378				hypothetical protein
POBNIBBE_00535	CDS	591	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
POBNIBBE_00536	CDS	624	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
POBNIBBE_00537	CDS	270				hypothetical protein
POBNIBBE_00538	CDS	636	udk	2.7.1.48	COG0572	Uridine kinase
POBNIBBE_00539	CDS	1269	ydcP_1	3.4.-.-	COG0826	putative protease YdcP
POBNIBBE_00540	CDS	930	ydcP_2	3.4.-.-	COG0826	putative protease YdcP
POBNIBBE_00541	CDS	231				hypothetical protein
POBNIBBE_00542	CDS	906	fmdA	3.5.1.49		Formamidase
POBNIBBE_00543	CDS	468	puuP		COG0531	Putrescine importer PuuP
POBNIBBE_00544	CDS	615				hypothetical protein
POBNIBBE_00545	CDS	387	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
POBNIBBE_00546	CDS	204	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
POBNIBBE_00547	CDS	795	iolU_2	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
POBNIBBE_00548	CDS	210				hypothetical protein
POBNIBBE_00549	CDS	258				hypothetical protein
POBNIBBE_00550	CDS	267	arsC	1.20.4.4	COG0394	Arsenate reductase
POBNIBBE_00551	CDS	1377				hypothetical protein
POBNIBBE_00552	CDS	510				hypothetical protein
POBNIBBE_00553	CDS	651	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
POBNIBBE_00554	CDS	264	rpsQ			30S ribosomal protein S17
POBNIBBE_00555	CDS	201	rpmC			50S ribosomal protein L29
POBNIBBE_00556	CDS	426	rplP		COG0197	50S ribosomal protein L16
POBNIBBE_00557	CDS	657	rpsC			30S ribosomal protein S3
POBNIBBE_00558	CDS	342	rplV		COG0091	50S ribosomal protein L22
POBNIBBE_00559	CDS	279	rpsS			30S ribosomal protein S19
POBNIBBE_00560	CDS	483	rplB			50S ribosomal protein L2
POBNIBBE_00561	CDS	492				hypothetical protein
POBNIBBE_00562	CDS	291	spoVG		COG2088	Putative septation protein SpoVG
POBNIBBE_00563	CDS	375	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
POBNIBBE_00564	CDS	822	purR		COG0503	Pur operon repressor
POBNIBBE_00565	CDS	375	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
POBNIBBE_00566	CDS	441				hypothetical protein
POBNIBBE_00567	CDS	717	cwlD	3.5.1.28	COG0860	Germination-specific N-acetylmuramoyl-L-alanine amidase
POBNIBBE_00568	CDS	1026	salA		COG0489	Iron-sulfur cluster carrier protein
POBNIBBE_00569	CDS	483	gerD			Spore germination protein GerD
POBNIBBE_00570	CDS	867	mreC		COG1792	Cell shape-determining protein MreC
POBNIBBE_00571	CDS	519	mreD		COG2891	Rod shape-determining protein MreD
POBNIBBE_00572	CDS	693	minC		COG0850	Septum site-determining protein MinC
POBNIBBE_00573	CDS	804	minD		COG2894	Septum site-determining protein MinD
POBNIBBE_00574	CDS	729				hypothetical protein
POBNIBBE_00575	CDS	951	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
POBNIBBE_00576	CDS	1311	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
POBNIBBE_00577	CDS	126				hypothetical protein
POBNIBBE_00578	CDS	642	yigZ		COG1739	IMPACT family member YigZ
POBNIBBE_00579	CDS	1182	degS_1	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase DegS
POBNIBBE_00580	CDS	675	degU		COG2197	Transcriptional regulatory protein DegU
POBNIBBE_00581	CDS	453	flgC		COG1558	Flagellar basal-body rod protein FlgC
POBNIBBE_00582	CDS	390	flgB		COG1815	Flagellar basal body rod protein FlgB
POBNIBBE_00583	CDS	780	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
POBNIBBE_00584	CDS	1320	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
POBNIBBE_00585	CDS	1224				hypothetical protein
POBNIBBE_00586	CDS	909			COG1173	Putative peptide transport permease protein
POBNIBBE_00587	CDS	882	gsiC		COG0601	Glutathione transport system permease protein GsiC
POBNIBBE_00588	CDS	252				hypothetical protein
POBNIBBE_00589	CDS	1971	hsdM_3	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
POBNIBBE_00590	CDS	684	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
POBNIBBE_00591	CDS	201				hypothetical protein
POBNIBBE_00592	CDS	1977	mcpC		COG0840	Methyl-accepting chemotaxis protein McpC
POBNIBBE_00593	CDS	945	rbsC		COG1172	Ribose import permease protein RbsC
POBNIBBE_00594	CDS	1536	fruK	3.6.3.17	COG1129	Fructose import ATP-binding protein FruK
POBNIBBE_00595	CDS	732	xypA		COG1879	Xylitol-binding protein
POBNIBBE_00596	CDS	597				hypothetical protein
POBNIBBE_00597	CDS	978	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
POBNIBBE_00598	CDS	873	accD	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
POBNIBBE_00599	CDS	603	lutR		COG2186	HTH-type transcriptional regulator LutR
POBNIBBE_00600	CDS	1356	dacA	3.4.16.4		D-alanyl-D-alanine carboxypeptidase DacA
POBNIBBE_00601	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
POBNIBBE_00602	CDS	591	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
POBNIBBE_00603	CDS	183	secE			Protein translocase subunit SecE
POBNIBBE_00604	CDS	651	sigH		COG1595	RNA polymerase sigma-H factor
POBNIBBE_00605	CDS	513	yacP		COG3688	putative protein YacP
POBNIBBE_00606	CDS	741		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
POBNIBBE_00607	CDS	336	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
POBNIBBE_00608	CDS	288				hypothetical protein
POBNIBBE_00609	CDS	540				hypothetical protein
POBNIBBE_00610	CDS	111				hypothetical protein
POBNIBBE_00611	CDS	1152	norB	1.7.2.5	COG3256	Nitric oxide reductase subunit B
POBNIBBE_00612	CDS	285	groS			10 kDa chaperonin
POBNIBBE_00613	CDS	1617	groL			60 kDa chaperonin
POBNIBBE_00614	CDS	2223	kinE_1	2.7.13.3	COG2202	Sporulation kinase E
POBNIBBE_00615	CDS	222	cymR_1			HTH-type transcriptional regulator CymR
POBNIBBE_00616	CDS	1143	iscS_1	2.8.1.7		Cysteine desulfurase IscS
POBNIBBE_00617	CDS	1116	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
POBNIBBE_00618	CDS	198	ykzF			putative protein YkzF
POBNIBBE_00619	CDS	234				hypothetical protein
POBNIBBE_00620	CDS	1245	ykuI		COG2200	putative EAL-domain containing protein YkuI
POBNIBBE_00621	CDS	255	fadH_1	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
POBNIBBE_00622	CDS	306	fadH_2	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
POBNIBBE_00623	CDS	537	rplF			50S ribosomal protein L6
POBNIBBE_00624	CDS	363	rplR			50S ribosomal protein L18
POBNIBBE_00625	CDS	501	rpsE			30S ribosomal protein S5
POBNIBBE_00626	CDS	189	rpmD			50S ribosomal protein L30
POBNIBBE_00627	CDS	441	rplO			50S ribosomal protein L15
POBNIBBE_00628	CDS	195				hypothetical protein
POBNIBBE_00629	CDS	231				hypothetical protein
POBNIBBE_00630	CDS	750		1.11.1.-	COG3253	Putative heme-dependent peroxidase
POBNIBBE_00631	CDS	447	cwlJ		COG3773	Cell wall hydrolase CwlJ
POBNIBBE_00632	CDS	555	gerQ			Spore coat protein GerQ
POBNIBBE_00633	CDS	153				hypothetical protein
POBNIBBE_00634	CDS	738				hypothetical protein
POBNIBBE_00635	CDS	363				putative protein
POBNIBBE_00636	CDS	186	rpmB			50S ribosomal protein L28
POBNIBBE_00637	CDS	603	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
POBNIBBE_00638	CDS	303				hypothetical protein
POBNIBBE_00639	CDS	1341				hypothetical protein
POBNIBBE_00640	CDS	282				hypothetical protein
POBNIBBE_00641	CDS	108				hypothetical protein
POBNIBBE_00642	CDS	513				hypothetical protein
POBNIBBE_00643	CDS	969				hypothetical protein
POBNIBBE_00644	CDS	297				hypothetical protein
POBNIBBE_00645	CDS	774	sigB		COG1191	RNA polymerase sigma-B factor
POBNIBBE_00646	CDS	489	rsbW	2.7.11.1	COG2172	Serine-protein kinase RsbW
POBNIBBE_00647	CDS	351	rsbV			Anti-sigma-B factor antagonist
POBNIBBE_00648	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
POBNIBBE_00649	CDS	402				hypothetical protein
POBNIBBE_00650	rRNA	2923				23S ribosomal RNA
POBNIBBE_00651	rRNA	112				5S ribosomal RNA
POBNIBBE_00652	CDS	462	ctsr			Transcriptional regulator CtsR
POBNIBBE_00653	CDS	549	mcsA		COG3880	Protein-arginine kinase activator protein
POBNIBBE_00654	CDS	1092	mcsB	2.7.14.1		Protein-arginine kinase
POBNIBBE_00655	CDS	330	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
POBNIBBE_00656	CDS	270	mazE		COG2336	Antitoxin MazE
POBNIBBE_00657	tRNA	90				tRNA-Ser(cga)
POBNIBBE_00658	tRNA	75				tRNA-Ala(cgc)
POBNIBBE_00659	tRNA	77				tRNA-Pro(cgg)
POBNIBBE_00660	CDS	129				hypothetical protein
POBNIBBE_00661	CDS	420				hypothetical protein
POBNIBBE_00662	CDS	615				hypothetical protein
POBNIBBE_00663	CDS	990	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
POBNIBBE_00664	CDS	1815	bceB		COG0577	Bacitracin export permease protein BceB
POBNIBBE_00665	CDS	489	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
POBNIBBE_00666	CDS	642	rex		COG2344	Redox-sensing transcriptional repressor Rex
POBNIBBE_00667	CDS	153	tatAy			Sec-independent protein translocase protein TatAy
POBNIBBE_00668	CDS	1335	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
POBNIBBE_00669	CDS	414				hypothetical protein
POBNIBBE_00670	CDS	1272	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
POBNIBBE_00671	CDS	1119	citZ	2.3.3.16	COG0372	Citrate synthase 2
POBNIBBE_00672	CDS	402				hypothetical protein
POBNIBBE_00673	CDS	756	glvR_1		COG1737	HTH-type transcriptional regulator GlvR
POBNIBBE_00674	CDS	174	bglC_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
POBNIBBE_00675	CDS	768		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
POBNIBBE_00676	CDS	768	alr	5.1.1.1		Alanine racemase
POBNIBBE_00677	CDS	282	ndoAI		COG0864	Antitoxin EndoAI
POBNIBBE_00678	CDS	351	ndoA	3.1.27.-	COG2337	Endoribonuclease EndoA
POBNIBBE_00679	CDS	336				hypothetical protein
POBNIBBE_00680	CDS	1200		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
POBNIBBE_00681	CDS	180				hypothetical protein
POBNIBBE_00682	CDS	513	ftsX		COG2177	Cell division protein FtsX
POBNIBBE_00683	CDS	1299	cwlO	3.4.-.-	COG0791	Peptidoglycan DL-endopeptidase CwlO
POBNIBBE_00684	CDS	204				hypothetical protein
POBNIBBE_00685	CDS	291				hypothetical protein
POBNIBBE_00686	CDS	102				hypothetical protein
POBNIBBE_00687	CDS	1029	ythB		COG1294	Putative cytochrome bd menaquinol oxidase subunit II
POBNIBBE_00688	CDS	1329	ythA	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
POBNIBBE_00689	CDS	369	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
POBNIBBE_00690	CDS	492				hypothetical protein
POBNIBBE_00691	CDS	498				hypothetical protein
POBNIBBE_00692	tRNA	74				tRNA-Arg(ccg)
POBNIBBE_00693	CDS	591	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
POBNIBBE_00694	CDS	258	crh		COG1925	HPr-like protein Crh
POBNIBBE_00695	CDS	1113	whiA		COG1481	Sporulation transcription regulator WhiA
POBNIBBE_00696	CDS	177				hypothetical protein
POBNIBBE_00697	CDS	432				hypothetical protein
POBNIBBE_00698	CDS	159				hypothetical protein
POBNIBBE_00699	CDS	258	veg		COG4466	Protein Veg
POBNIBBE_00700	CDS	897	yabG	3.4.-.-		Sporulation-specific protease YabG
POBNIBBE_00701	CDS	321	rsmA_1	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
POBNIBBE_00702	CDS	984				hypothetical protein
POBNIBBE_00703	CDS	1287	hemL1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 1
POBNIBBE_00704	CDS	444				hypothetical protein
POBNIBBE_00705	CDS	828				hypothetical protein
POBNIBBE_00706	CDS	393	yabA		COG4467	Initiation-control protein YabA
POBNIBBE_00707	CDS	750	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
POBNIBBE_00708	CDS	327				hypothetical protein
POBNIBBE_00709	CDS	258				hypothetical protein
POBNIBBE_00710	CDS	279				hypothetical protein
POBNIBBE_00711	CDS	192				hypothetical protein
POBNIBBE_00712	CDS	234	wapA	3.1.-.-		tRNA3(Ser)-specific nuclease WapA
POBNIBBE_00713	CDS	786	nirC		COG2116	Nitrite transporter NirC
POBNIBBE_00714	CDS	732	sigK			RNA polymerase sigma-28 factor
POBNIBBE_00715	CDS	246				hypothetical protein
POBNIBBE_00716	CDS	450	mccB	4.4.1.1	COG0626	Cystathionine gamma-lyase
POBNIBBE_00717	CDS	318	gcvH		COG0509	Glycine cleavage system H protein
POBNIBBE_00718	CDS	141				hypothetical protein
POBNIBBE_00719	CDS	423	rnmV	3.1.26.8		Ribonuclease M5
POBNIBBE_00720	CDS	315				hypothetical protein
POBNIBBE_00721	CDS	345				hypothetical protein
POBNIBBE_00722	CDS	873				hypothetical protein
POBNIBBE_00723	CDS	207				hypothetical protein
POBNIBBE_00724	CDS	954	macA		COG0845	Macrolide export protein MacA
POBNIBBE_00725	CDS	723	malR_2		COG1609	HTH-type transcriptional regulator MalR
POBNIBBE_00726	CDS	474	infC			Translation initiation factor IF-3
POBNIBBE_00727	CDS	201	rpmI		COG0291	50S ribosomal protein L35
POBNIBBE_00728	CDS	360	rplT		COG0292	50S ribosomal protein L20
POBNIBBE_00729	CDS	285				hypothetical protein
POBNIBBE_00730	CDS	486				hypothetical protein
POBNIBBE_00731	CDS	678				hypothetical protein
POBNIBBE_00732	CDS	546				hypothetical protein
POBNIBBE_00733	CDS	561				hypothetical protein
POBNIBBE_00734	CDS	174	yloA		COG1293	putative protein YloA
POBNIBBE_00735	CDS	579	liaR		COG2197	Transcriptional regulatory protein LiaR
POBNIBBE_00736	CDS	1971	degS_2	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase DegS
POBNIBBE_00737	CDS	390				hypothetical protein
POBNIBBE_00738	CDS	870				hypothetical protein
POBNIBBE_00739	CDS	507	crr_1			PTS system glucose-specific EIIA component
POBNIBBE_00740	CDS	420				hypothetical protein
POBNIBBE_00741	CDS	546				hypothetical protein
POBNIBBE_00742	CDS	1287	tig	5.2.1.8	COG0544	Trigger factor
POBNIBBE_00743	CDS	606	bioY		COG1268	Biotin transporter BioY
POBNIBBE_00744	CDS	999	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
POBNIBBE_00745	CDS	621				hypothetical protein
POBNIBBE_00746	CDS	1422	atpD	3.6.3.14	COG0055	ATP synthase subunit beta
POBNIBBE_00747	CDS	858	atpG		COG0224	ATP synthase gamma chain
POBNIBBE_00748	CDS	240	atpA	3.6.3.14		ATP synthase subunit alpha
POBNIBBE_00749	CDS	567				hypothetical protein
POBNIBBE_00750	CDS	567	nosZ_1	1.7.2.4		Nitrous-oxide reductase
POBNIBBE_00751	CDS	1242	nosZ_2	1.7.2.4		Nitrous-oxide reductase
POBNIBBE_00752	CDS	1365				hypothetical protein
POBNIBBE_00753	CDS	639	mntP_1			manganese efflux pump MntP
POBNIBBE_00754	CDS	585				hypothetical protein
POBNIBBE_00755	CDS	1344				hypothetical protein
POBNIBBE_00756	CDS	120				hypothetical protein
POBNIBBE_00757	CDS	189				hypothetical protein
POBNIBBE_00758	CDS	741				hypothetical protein
POBNIBBE_00759	CDS	252				hypothetical protein
POBNIBBE_00760	CDS	96				hypothetical protein
POBNIBBE_00761	CDS	255				hypothetical protein
POBNIBBE_00762	CDS	801	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
POBNIBBE_00763	CDS	927	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
POBNIBBE_00764	CDS	201				hypothetical protein
POBNIBBE_00765	CDS	597				hypothetical protein
POBNIBBE_00766	CDS	1332			COG1702	PhoH-like protein
POBNIBBE_00767	CDS	1323	atsB	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
